hexagram_id,hexagram_name,line_number,fortune_value,fortune_text,interpretation
5,水天需,1,0,平,「郊」は郊外、田舎のこと。「郊外で待つ。変化を求めず、日常のことを続けておく。問題はない」。今までのやり方を守って、心を動かさない時です。今は中心から遠く離れて待つことです。
5,水天需,2,1,吉,「沙」は砂地のこと。.「水辺の砂地で待つ。少々ゴタゴタがあっても、最終的には吉」。何かトラブルが起こっても、時間が解決してくれます。口論は避け動揺しないことです。
5,水天需,3,0,平,「寇」は敵、賊のこと。「水際の泥地で泥にまみれて待つ。敵が攻めてくる」.。動けばやられる、油断大敵の時です。じたばたせず、息を殺して待つことです。◎あなたの考え方、進み方に問題があります。よく反省し、改めましょう。
5,水天需,4,0,平,｢血の中で待つ。やがて穴の中から脱出できる」。困難の真っただ中、力強い援助がある時です。脱出の時までじっと待ちましょう。
5,水天需,5,2,大吉,｢飲食をしながら待つ。貞正にして吉」。間もなく、待望の渡し舟が到着します。待った甲斐があったというもの。英気を養って、心安らかに悠々と待つことです。◎大変良い時です。
5,水天需,6,1,吉,｢速」は待つ。したがって｢不速」は待たない、すなわち思いがけないの意味。｢穴にはまり込んでしまった。思いがけない客が三人やって来る。丁重にもてなせば最終的には吉」。窮地に陥る時ですが、思わぬ人から思わぬ援助が得られます。受身に徹すること。
6,天水訟,1,1,吉,「訴え争いを長引かせずに切り上げる。少々ゴタゴタがあっても最終的には吉」。先を見越して、争いを早めに避けるほうが利口です。小さな事にはこだわらないこと。
6,天水訟,2,0,平,「逋」は逃げてコソコソ隠れること。「邑人」は村人のこと。「訴えに勝てない。逃れて帰る。関係する三百人の村人たちにも災いが及ばずに済んだ」。勝ち目もないのに勢いに任せて不満をぶつけないことです。ひとまず退却すること。
6,天水訟,3,1,吉,「旧徳」は旧禄のこと。「王事」は王命による日常の仕事のこと。「主人の所へ帰って、今までどおり養われる。貞正していても危ういが、最終的には吉。日常の仕事をしていれば、たとえ功績がなくても良い」。今まで行なってきた事が平凡でも一番良い時です。移り気は良くありません。
6,天水訟,4,1,吉,「渝」は変わること。「訴えに勝てない。帰って主人の命令に従う。心を入れ替えて貞正に安んずれば吉」。自分の原点、自分の本来の仕事に立ち返るべき時です。目上の人に従いましょう。
6,天水訟,5,2,大吉,「訴えて勝ち、大いに吉」。実力も備わり、正義のために堂々と戦って勝利を収める時です。この機会に決着をつけること。◎天水訟の中では良い時です。
6,天水訟,6,0,平,「〓帯」は礼服。「終朝」は午前中のこと。「王より礼服を授けられたが、朝のまつりごとが終わるまで三度もこれを取り上げられてしまった」。労して功無しの時です。天意に逆らって策略を駆使し、一時的に訴えに勝った姿です。しかし、結局信用も人望も失い、空しさだけが残ることでしょう。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
7,地水師,1,-1,凶,「戦争の時は規律が第一である。規律が守られなければ凶」。あなたの生活態度、勤務態度が緩んでいるのではありませんか。出足が肝腎。まず、規律を正すことです。
7,地水師,2,1,吉,「有能な指令官が中心にいる。問題はない。王から三度も命令が下る」。この卦で唯一の陽で、有能な司令官であることを示します。信頼と引き立てをバックに、大いに能力を発揮できる時です。◎良い時です。
7,地水師,3,-1,凶,「尸」は屍のこと。「戦争をして屍を車に載せて帰る。凶」。認識が甘く､実力も不足しているので、負け戦は見に見えています。病気や大ケガにも用心しましょう。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
7,地水師,4,0,平,「左次」とは退くこと。「前線から退く。問題はない」。退却も立派な戦の道です。今は一歩退いて静観すること。
7,地水師,5,-1,凶,「禽」は賊。「長子」は能力のある人。「弟子」は能力のない小人のこと。「田を荒す賊がやって来た。命令を発したほうが良い。問題はない。優れた人物はよく軍を率いる。小人に任せるなら、屍を担って敗走することになるので、貞正であっても凶」。妨害の多い時です。作戦としては優秀な参謀を選んで一任することです。
7,地水師,6,1,吉,「大君は、戦争に勝って功労者を諸候に任じる。国を開いて家を興させる。小人は登用してはならない」。戦い済んで、論功行賞の時です。功労があっても、責任ある立場につかせる人物は、良く選ぶことです。小人は小人にすぎません。◎良い時です。
8,水地比,1,1,吉,「缶」は酒を入れる土器のこと。「他」は思いがけないの意味。「誠をもって親しく交わる。問題はない。その誠が素朴な土器に満ちるように豊かであれば、ついには思わぬ喜びもえられる」。あなたの飾らぬ真心、努力が人を動かし、予想外の喜びが訪れる時です。◎良い時です。
8,水地比,2,1,吉,「心の中から親しくする。貞正にして吉」。あなたの方から誠意を尽くして親交を求めるなら、良い援助の得られる時です。◎良い時です。
8,水地比,3,0,平,「普通の人とは思えぬような得体の知れない者ばかりと親しくする」。とても正常な状態の時とはいえません。あなたの親しくしている人、あなたがやろうとしている事など、思い当たることはありませんか？◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
8,水地比,4,1,吉,「外部の者とも親しくする。貞正にして吉」。たとえば、職種に関わらず交際することは自らの教養を高め、視野を広めてくれることでしょう。目上の助力を求めることです。◎良い時です。
8,水地比,5,1,吉,「禽」は獲物、「驅」は馬を走らす意味。「邑人」は村人、「誡」は警戒し疑うこと。「水地比の道を明らかにする。王が狩の時に三方から獲物を追い詰め、前方より逃げる獲物は逃がす。去るものは追わずの姿勢であれば、村人は警戒心を起こさない。吉」。完璧さをしつこく追い求めず、寛大な気持ちで接することが大切です。腹八分目を心がけましょう。◎良い時です。
8,水地比,6,-1,凶,「首」は主のこと。「親しくしようにも主たる相手がいない。凶」。仲良くすべき時に、天の意思に背き、とうとう人から見放されたような時です。あなた自身も、“クビ”の憂き目に遭うかもしれません。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
9,風天小畜,1,1,吉,「途中で引き返す。何の問題があろうか。吉」。手を出しかけてハッと我に返る。風天小畜の時に適った正しい選択です。平常心を取り戻して、現状維持といったところ。
9,風天小畜,2,1,吉,「友人に引かれて帰る。吉」。持つべきものは良き友人です。人の意見に素直に従いましょう。◎良い時です。
9,風天小畜,3,0,平,「輿」は車、「輹」は車軸のこと。「車の車軸が外れて車が壊れてしまい進めない。夫婦でケンカするようなものだ」。内部分裂がもとで、大切なことが台無しになる時です。夫唱婦随の精神を見習って、強引さ性急さを控えること。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
9,風天小畜,4,0,平,「出」は危険が去る意味。「誠がある。血や膿が出てしまって恐れも去った。問題はない」。誠意を尽くせば、難問が解決しうる時です。慌てないこと。
9,風天小畜,5,2,大吉,「攣如」は手を取り合うこと。「誠があって、手を取り合うようにしっかりと心を合わせて相親しむ。富も隣人と分け合う」。成功は皆で喜ぶもの、共存共栄の時です。◎大変良い時です。
9,風天小畜,6,-1,凶,「望」は満月のこと。「ついに雨が降って、その恵が行き渡るように、徳も、車に戴せるぐらいに盛大になった。このような時、本来，陰であるべき婦人が貞正にしていても危うい。月が満月に近づいて輝きを増し、一層歯止めが効かなくなった。こうした時には、君子であっても進むことは凶」。目的をすでに達成したのに、まだ不満足で進もうとしている時です。これ以上の欲は出さずに、有終の美を飾りましょう。
10,天沢履,1,0,平,「飾り気なく素直に進めば問題はない」。あるがまま、あなたらしさを大切にする時です。
10,天沢履,2,1,吉,「幽人」は山の中に隠れ住む人のこと。「坦々と道を行く。一人、心静かに世捨て人の如く、貞正にしていれば吉」。周囲の雑音に惑わされず、我が道を行く時です。本業を守り、表立った行動は差し控えましょう。引っ込むが正解。
10,天沢履,3,-1,凶,「眇」は片目が悪いこと。「跛」は片足が悪いこと。「目が悪いのに充分に見えるふりをし、足が悪いのに充分に歩けるふりをして進む。こういう具合なので虎の尾を履（ふ）んでしまい、ガブリと噛み付かれる。凶。並みの武人が総大将になったようなものだ」。実力もないのに、自信過剰で大言壮語しているような時です。この世の中、空いばりが通用するほど甘くはありません。ところで、この爻は天沢履の中でも、ズバリあなた（陰）が異性（陽）に囲まれていることを示しています。しかも、三爻は人体では股のところです。異性関係にはよくよく注意する必要があります。油断すると素っ裸にされる恐れがあります。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
10,天沢履,4,1,吉,「愬愬」は恐れ慎むこと。「虎の尾を履んでしまった。怖れ慎んでいれば最終的には吉」。危険いっぱいの時ですが、気を抜かずに慎重な態度を貫けば大丈夫です。◎良い時です。
10,天沢履,5,0,平,「夬」は決断、決行のこと。「堂々と進むことを決断する。貞正にしていても危うい」。礼儀正しく進む時です。独断専行は危険です。
10,天沢履,6,2,大吉,これまで行ってきたことを振り返り、じっくり反省する。誤った道を進んできたのなら立ち帰って大いに吉」。過去の経験を生かし、将来の目標を定める平安な時です。他の人の意見や前人の行ないも参考にすること。◎大変良い時です。
11,地天泰,1,0,平,「茅」はイネ科の多年草。「茹」は草の根が連なること。「彙」は仲間のこと。「茅を抜くとその根が連なって抜けるように、仲間と協力して前進すれば吉」。チームワークをフルに活用することでうまく行く時です。◎良い時です。
11,地天泰,2,1,吉,「荒」は荒野。「馮河は徒歩で大河を渡ること.。「遐遺」は遠きを残す、すなわち遠くの人を忘れること。「朋亡」は私情にとらわれないこと。「中行」は正しい道。「荒野を開拓し、徒歩で大河を渡るような度量と勇気があり、遠くの人を忘れずに、私情にとらわれないで中道を得る」。思い切って実行に踏み切って良い時です。細心の注意と気配りに基づいた勇断であるべし。◎良い時です。
11,地天泰,3,0,平,「艱貞」は困難に耐えて貞正を守ること。「食」は欠け、衰えること。「平らなものは傾かないということはなく、往ったものは帰ってこないということはない。困難に耐えて貞正を守っていれば問題はない。心配しなくとも良い。誠があれば衰えの中にも幸いがある」。栄枯盛衰は世の習い、治に居て乱を忘れぬ態度で日々精進すれば、見ている人はちゃんといるものなのです。
11,地天泰,4,0,平,「翩々」はひらひらと飛ぶ様子。「戒」は警戒し疑うこと。「取りがアひらひらと飛ぶように、自分の富は心にもかけずに隣人と協力し合う。警戒することなく誠を持って対することだ」。自分は金持ちだなどと威張らずに、お隣りとも真心をもってよく付き合うときです。謙虚さが大切。
11,地天泰,5,2,大吉,｢帝乙」は殷の紂王の父。「帝乙が妹を優秀な臣下に嫁がせた。このようであれば幸いを得られ大いに吉」。いろいろな人と良い関係の作れる時です。部下にもすばらしい人材がいます。人の力を借りて目的が果たせる時、また果たすべき時。◎大変良い時です。
11,地天泰,6,0,平,「隍」水の渇れた濠。「師」は戦争。「邑」は村。「城壁が崩れ去って元の隍に復ってしまった。出兵してはならない。命令が村から出されるようでは貞正にしていても恥をかくことになる」。屋台骨が折れ、せっかく築き上げてきたものがガラガラと無残に崩れ去る時です。会社も家庭も統制がなくバラバラです。あなたが上司であるならば、部下に信頼されずに命令が無視されてしまうでしょう。◎あなたの考え方、進み方に大きな欠陥があります、よく反省し、方針の転換をしましょう。
12,天地否,1,1,吉,「茅」はイネ科の多年草。「茹」は草の根が連なること。「彙」は仲間のこと。「茅を抜くとその根が連なって抜けるように、仲間と協力することだ。貞正にして吉。通じる」。チームワークを大切にする時です。天地否の時、悪い仲間の誘惑もあるでしょう。そうした者たちとズルズルと行動をともにして一網打尽の憂き目に遭わないよう用心することです。
12,天地否,2,1,吉,"「包承」は他に包み込まれ従うこと。「得体の知れない者がはびこる時、このような者に素直に従って小人は吉かもしれない。だが,大人はキッパリと付き合いを断って,通じる」。能ある鷹は爪を隠すべき時です。自分の信ずる道を守りましょう。"
12,天地否,3,0,平,「恥ずかしいことを包み隠している」。内部に問題を抱えている時です。やましい秘密を隠し持っていたり、まだ、下心を持って人に接していたら、信用を失い孤立してしまいます。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
12,天地否,4,1,吉,「疇」は同類のこと。「離」はつくこと。「天命に従っていけば問題はない。志をおなじくする者と協力することでお互いに幸せになる」。会社の中では上司の命令に良く従うべき時です。幸せを皆で分かち合うような広い気持ちで過ごすことです。◎天地否の中では良い時です。
12,天地否,5,0,平,「苞桑」は桑の木の根元のこと。「天地否の状態が止んだ.大人ならば吉である。しかし、亡びるかもしれない、亡びるかもしれないと桑の木の根元につなぎ止めるように慎重に行動することだ」。台風の目に入ったような時です。すなわち、ここにきて一息つけますが、ゆめゆめ油断することなく警戒を緩めないことです。
12,天地否,6,1,吉,「天地否の時が傾いた。初めは塞がっていても、後には喜ぶことになる｣。闇の中に光が差し始め、先が見えて来ました。苦しみ転じて喜びとなる時です。◎天地否の中では良い時です。
13,天火同人,1,0,平,「門を開けて広く世間の人と交わる。問題はない」。交際を積極的に広げる時です。心の門戸も開いて皆と仲良くしましょう。
13,天火同人,2,0,平,"「宗」は身内,親族のこと。「身内,親族ばかりと交際するようではよろしくない」。あなたは自分の殻に閉じこもっていませんか。人を色分けしていませんか？偏屈な態度を改め、視野を広く持ちましょう。"
13,天火同人,3,0,平,「戒」は兵、「莽」は草むらのこと。兵を草むらに伏せ、高い丘に登って偵察する。兵を挙げるのは三年間はとても無理だ｣。雌伏三年の気持ちで頑張る時です。上司に謀反など起こしても実りません。身の程知らずの野心は失敗の元です。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
13,天火同人,4,1,吉,「垣」は城壁のこと。「城壁に登って中を視察した。とても攻め入ることが出来ない。悟って手を引けば吉」。今､あなたのやろうとしていることは、あなたの力量を超えています。すなわち、高望みというものです。深追いせず諦めるのが賢い時です。
13,天火同人,5,2,大吉,「号［口兆」」は泣き叫ぶこと。「大師」は大軍のこと。「天火同人の時、最初は泣いたりわめいたりすることがあるが、後には笑うことができる。つまり大軍を出して戦に勝ち、やっと仲間と会うことができるからだ」。滞っていた難問がやっと解決する時です。積極的に動きましょう。最後に笑うのはあなたです。◎大変良い時です。
13,天火同人,6,0,平,「郊」は郊外、田舎のこと。「同士が郊外に集まった。悔いはない」。会社勤めの人は、本社で出世しようなど考えず、地方の支店で満足すべき時です。無理は禁物、退く方が無難です。
14,火天大有,1,0,平,「有害なものとは交わらないので災いはない。君子、危うきに近寄らずぐらいの気持ちを持って進めば問題はない」。大いに所有する時のスタートをきりました。本分を守って土台をしっかり固めましょう。
14,火天大有,2,1,吉,「大きな車に沢山荷を積んでも問題はない」。ロールスロイスに金銀を載せて進んでも問題なし。あなた自身が大きな車のように安定した力を持っています。大いに実力を発揮しましょう。◎良い時です。
14,火天大有,3,0,平,「諸公が天子に富を捧げるが、小人はよく捧げず、奉公の道を尽くさない」。太っ腹のあなたなら上司の引き立てを得られる時です。ケチな根性では駄目です。
14,火天大有,4,0,平,「彭」は強く盛んなこと。「勇み足や驕りたかぶることをしなければ問題ない」。いまや上司を凌ぐような勢いがあります。謙虚に従っていれば安全です。
14,火天大有,5,1,吉,「交如」は誠の心で接すること。「威如」は威厳があること。「誠があり、堂々と威厳がある。吉」。親しみやすさと威厳が調和している人には誰もが信頼と尊敬の念を抱くことでしょう。◎良い時です。
14,火天大有,6,2,大吉,「天の助けがある。吉でよろしい」。大いに所有し、極めて順調です。天の意思に対しても感謝の気持ちを忘れずに。◎大変良い時です。
15,地山謙,1,0,平,「謙虚に謙虚に努めるならば、大川を渡っても吉」。縁の下の力持ちに徹する時です。このことが、大きな仕事への原動力となるのです。◎良い時です。
15,地山謙,2,1,吉,「謙虚さが鳴り響いている。貞正にして吉」。あなたの謙虚さが自然に態度に出ています。先輩や上司が目をかけ、引き立ててくれるでしょう。◎良い時です。
15,地山謙,3,1,吉,「功労があり、しかも謙虚であれば終わりを全うすることができる。吉」。苦労はあっても必ず報われますから、やり通すことです。ところで、この
15,地山謙,4,0,平,「よろしい。謙虚さを顔に出すことだ」。謙虚の美徳を大いに発揮する時です。有力者の顔を立てて、助言を求めていけば良いでしょう。
15,地山謙,5,0,平,「侵伐」は征伐すること。「富を一人占めにせず、お隣りと仲良くする。いうことを聞かない者は攻め滅ぼしても良い。よろしい」。あなたは謙虚で立派な社長です。しかし､地位を守るためには、時には断固とした処置も必要でしょう。今がその時なのです。
15,地山謙,6,0,平,「師」は戦争。「邑国」は自分の国の領地のこと。「謙虚さが鳴り響いている。自国の領地内の戦争ぐらいはしても良い」。内部に対立や妨害があり、強攻策を取らざるを得ない時です。内部にしっかり目を向けましょう。
16,雷地予,1,-1,凶,「喜びを外に鳴り響かせるようでは凶」。実力がないのに慢心したり、遊び呆けるようではいけません。他人を当てにしないこと。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
16,雷地予,2,1,吉,「石にかじりついてでも一日中頑張る。貞正にして吉」。蒋介石総統の名前はこの
16,雷地予,3,0,平,「」は上を見上げること。「上ばかり見てへつらい喜ぶ。早く気づかないと後悔することになる」。高望みばかりしているのではありませんか。身の程を知り、分相応を心がけることです。
16,雷地予,4,2,大吉,「寄り集まって喜ぶ。大いに得ることがある。疑わなくとも良い。同志があつまってくる」。あなたを中心にして和気あいあいと喜び集まる時です。信頼が厚くいい協力者が得られるでしょう。◎大変良い時です。
16,雷地予,5,0,平,「貞疾」は持病のこと。「持病のある人は、どれだけ体を労わるのでかえって長生きする」。一病息災、すなわち、うまく行かないことがかえってプラスに働く時です。いずれにしても、雷地予の時、喜ぶばかりでなく、持病の人が用心するように用心に用心を重ねよということです。
16,雷地予,6,0,平,「冥予」は快楽に溺れること。「渝」は変わること。「快楽に溺れて冥土行きになりそうだ。心を入れ替えれば問題はない」。手遅れにならないように一刻も早く目を覚ますことです。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
17,沢雷随,1,1,吉,「官」は勤め先。「渝」は変わること。「勤め先が変わることがある。貞正にして吉。門を出て広く交際していけば良いことがある」。自分の殻に閉じこもらないで時の流れに順応してよい時です。転職のチャンス。◎良い時です。
17,沢雷随,2,0,平,「小子」はつまらない人物。「丈夫」は立派な人物。「つまらない人間に関わっていると、立派な人に見放されてしまう」。小利にこだわって大利を失う時です。何があなたにとって本当に大切であるのかを見極めることです。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
17,沢雷随,3,0,平,「丈夫」は立派な人物。「小子」はつまらない人物。「立派な人物に関わっていると、つまらない人たちが寄りつかなくなる。立派な人に従っていれば、求めるものが得られる。貞正を守るのが良い」。まさに「寄らば大樹の陰」で、賢人や目上の人に従って意見を求める時です。先々のことを考えて､冷静に行動することが大切です。
17,沢雷随,4,-1,凶,「従って獲物を得る。その行為は貞正であっても凶。だが、誠をもって道を守り賢明であれば何の問題があろうか」。得意先からワイロやリベートをもらうようでは駄目。何かと疑われやすい時なので、気持ちを引き締めて謙虚に社長に従いましょう。
17,沢雷随,5,2,大吉,「誠をもって善に従う。吉」。上からも下からも絶大な信頼を置かれています。人間関係のすばらしさがすべてにプラスに作用する時です。◎大変良い時です。
17,沢雷随,6,0,平,「拘係」はつなぎ留めること。「西山」は周の岐山のこと。「亨」は祭祀を行うこと。「人心をつなぎ留める。すなわち、民が縄をつけて引っ張られるように従ってくる。王は西山で祭祀を行う」。団結力が強いのはよいのですが､ちょっと窮屈さを感じる時です。ご先祖を祭りましょう。
18,山風蠱,1,1,吉,「幹」は治める、「考」は亡き父のこと。「父の失敗の後始末をする。子がいれば亡き父も問題はない。危ういところがあるが最終的には吉」。今なら手の施しようがあります。傷が浅いからといっても油断は禁物です。
18,山風蠱,2,0,平,「幹」は治めること。「父亡き後、母の失敗の後始末をする。あまり厳しい荒治療はするべきではない」。融通性をもって穏やかに後始末をするべき時です。正論に走るとマイナスになります。
18,山風蠱,3,0,平,「幹」は治めること。「父の失敗の後始末をする。小さな悔いはあるが、大きな問題はない」。腐敗が大きく､危険性もあるときですが､最後まで辛抱してやり遂げることです。
18,山風蠱,4,0,平,「父の失敗をかえって大きくしてしまう。このまま進めば、恥の上塗りになる」。大胆さが求められる山風蠱の時、あなたの優柔不断な態度と中途半端なやり方が問題なのです。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
18,山風蠱,5,1,吉,「幹」は治めること。「父の失敗の後始末をする。人に誉められる」。破産会社に乗り込んで再建に成功するような時です。すっきりした気分で再出発に臨むこと。◎山風蠱の中では良い時です。
18,山風蠱,6,0,平,"「宮仕えに見切りをつけ,自分ひとり高潔を守る」。高みの見物､世俗から身を引く時です。引退の好機かもしれません。"
19,地沢臨,1,1,吉,「互いに感じて臨む。貞正にして吉」。心を一つにして協力して進む時です。感動する心が大切なのです。◎良い時です。
19,地沢臨,2,1,吉,「互いに感じて臨む。吉でよろしい」。信頼が厚く、すべて順調に進みます。意気に感じて進んでよい時です。◎良い時です。
19,地沢臨,3,-1,凶,「甘く臨んで、良いことはない。すでにこのことに気がついておれば問題はない」。あなたは口先だけで人に臨もうとしています。甘い､甘い。不実は失敗の元です。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
19,地沢臨,4,2,大吉,「至誠をもって臨む。問題はない」。あなたの真心あふれる態度が幸せを招きます。部下などの有能な協力者に一任する時。◎大変良い時です。
19,地沢臨,5,2,大吉,「相手を知って臨む。王としてふさわしい。吉」。知恵多きあなたは、やはり知恵ある人を選び、うまく用いることで成功するでしょう。◎大変良い時です。
19,地沢臨,6,2,大吉,「篤実の心で臨む。吉で問題はない」。人情たっぷり、誠の心で進みましょう。◎大変良い時です。
20,風地観,1,0,平,「知恵不足の子どもが見るようなものだ。小人はそれでも問題はないが、君子がそのようであれば恥ずべきことだ」。目先のことしか眼中になくて、本質をまったく見抜けていない時です。子供には保護者が必要なもの、他の人の意見を良く聞くことが肝要です。
20,風地観,2,0,平,「〓」は覗き見ること。「覗き見する。女子どものおしゃべり程度。貞正であれば良い」。視野が狭く、小さなことは良くとも、大きな事を行うのは到底無理な時です。大局的に物事を捉えることを心がけること。
20,風地観,3,0,平,「自分の行き様ざまを見て進退を決定する」。自分のことを振り返って､分相応に努めましょう。一歩一歩着実に進むこと。
